id_x,name_x,countryId,bestChampionshipPosition,bestStartingGridPosition,bestRaceResult,totalChampionshipWins,totalRaceEntries,totalRaceStarts,totalRaceWins,totalRaceLaps,totalPodiums,totalPodiumRaces,totalPoints,totalChampionshipPoints,totalPolePositions,totalFastestLaps,name_y
playlife,Playlife,italy,4.0,1.0,2.0,0,49,49,0,4872,6,6,69.0,69.0,1,1,Italy
porsche,Porsche,germany,3.0,1.0,1.0,0,42,37,1,3580,5,5,50.0,46.0,1,0,Germany
pratt-whitney,Pratt & Whitney,united-states-of-america,,18.0,8.0,0,3,3,0,117,0,0,0.0,0.0,0,0,United States of America
rbpt,RBPT,japan,1.0,1.0,1.0,1,22,22,17,4792,28,20,794.0,794.0,8,8,Japan
renault,Renault,france,1.0,1.0,1.0,12,748,745,169,132179,465,323,8206.5,8190.5,213,177,France
repco,Repco,australia,1.0,1.0,1.0,2,33,33,8,3550,25,17,175.0,115.0,7,4,Australia
sauber,Sauber,switzerland,7.0,5.0,4.0,0,16,16,0,1420,0,0,12.0,12.0,0,0,Switzerland
scarab,Scarab,united-states-of-america,,15.0,10.0,0,5,2,0,87,0,0,0.0,0.0,0,0,United States of America
serenissima,Serenissima,italy,10.0,13.0,6.0,0,3,1,0,78,0,0,1.0,1.0,0,0,Italy
subaru,Subaru,japan,,,,0,8,0,0,0,0,0,0.0,0.0,0,0,Japan
supertec,Supertec,netherlands,5.0,4.0,2.0,0,33,33,0,3942,3,3,42.0,42.0,0,1,Netherlands
tag-heuer,TAG Heuer,switzerland,2.0,1.0,1.0,0,62,62,9,6288,42,38,1255.0,1255.0,3,13,Switzerland
tag,TAG,luxembourg,1.0,1.0,1.0,2,68,68,25,6687,54,44,405.5,405.5,7,18,Luxembourg
talbot-lago,Talbot-Lago,france,,4.0,3.0,0,13,13,0,2846,2,2,0.0,0.0,0,0,France
tecno,Tecno,italy,11.0,12.0,6.0,0,13,10,0,243,0,0,1.0,1.0,0,0,Italy
toro-rosso,Toro Rosso,italy,7.0,6.0,4.0,0,20,20,0,1873,0,0,53.0,53.0,0,0,Italy
toyota,Toyota,japan,4.0,1.0,2.0,0,140,140,0,23911,17,17,384.0,384.0,3,4,Japan
vanwall,Vanwall,united-kingdom,1.0,1.0,1.0,1,29,28,9,2190,13,11,68.0,48.0,7,6,United Kingdom
veritas,Veritas,germany,,7.0,7.0,0,6,6,0,155,0,0,0.0,0.0,0,0,Germany
weslake,Weslake,united-kingdom,7.0,2.0,1.0,0,18,18,1,447,2,2,13.0,13.0,0,2,United Kingdom
yamaha,Yamaha,japan,7.0,3.0,2.0,0,130,116,0,8966,2,2,36.0,36.0,0,0,Japan
zakspeed,Zakspeed,germany,10.0,13.0,5.0,0,58,51,0,2821,0,0,2.0,2.0,0,0,Germany
